Target,F890,e_F890,ObsDate
Sz 91,62,0.1,2015Jun
2MASS J16083070-3828268,135,1.1,2015Jun
Sz 111,179,1.0,2015Jun
V* RY Lup,276,1.2,2015Jun
Sz 118,63,1.0,2015Jun
Sz 123,41,0.6,2015Jun
Sz 84,33,0.4,2015Jun
Sz 100,55,0.6,2015Jun
2MASS J16102955-3922144,7.1,0.35,2015Jun
2MASS J16070854-3914075,92,1.5,2015Jun
V* MY Lup,177,0.8,2015Jun
Sz 76,9.2,0.2,2015Jun
Sz 103,11.5,0.2,2015Jun
Sz 104,3.2,0.2,2015Jun
Sz 112,3.9,0.2,2015Jun
2MASS J16011549-4152351,82,0.9,2015Jun
2MASS J16081497-3857145,8.3,0.3,2015Jun
Sz 129,181,0.5,2015Jun
2MASS J16000236-4222145,120,0.6,2015Jun
