Target,F3300,e_F3300,ObsDate
V* V866 Sco,27.2,1.2,unknown
EM* AS 206,4.4,0.4,unknown
GSS 26,24.2,0.9,unknown
Elia 2-20,7.3,0.5,unknown
LFAM 1,17.5,0.6,unknown
NAME DoAr 24E,8.3,0.4,unknown
DoAr 25,25.0,0.6,unknown
Elia 2-24,48.8,0.7,unknown
Elia 2-27,38.7,0.6,unknown
WL 18,3.1,0.5,unknown
WSB 42,26.6,0.8,unknown
Elia 2-30,4.2,0.4,unknown
WLY 2-33,1.2,1.2,unknown
WLY 2-41,6.2,1.2,unknown
2MASS J16272461-2441034,1.5,0.3,unknown
YLW 16C,6.5,0.4,unknown
[GY92] 284,1.2,1.2 ,unknown
WLY 2-49,4.4,0.4,unknown
DoAr 33,3.7,0.3,unknown
WSB 52,10.2,0.5,unknown
WLY 2-51,12.7,0.8,unknown
WSB 60,15.3,0.5,unknown
HBC 266,10.0,0.6,unknown
DoAr 44,10.4,0.5,unknown
V* V1003 Oph,7.6,0.5,unknown
Hen 3-1258,10.3,0.4,unknown
EM* AS 209,17.5,0.5,unknown
