Target,F_70um,e_70um,F_160um,e_160um,F_250um,e_250um,F_350um,e_350um,F_500um,e_500um
2MASS J10563044-7711393,0.4,0.1,0.6,0.1,0.6,0.2,0.6,0.1,0.4,0.2
2MASS J10581677-7717170,3.1,0.1,3.3,0.1,2.1,0.1,1.7,0.1,1.0,0.1
2MASS J10590697-7701403,1.3,0.1,2.4,0.1,1.9,0.1,1.6,0.1,0.9,0.1
2MASS J11022491-7733357,2.6,0.1,1.9,0.1,1.2,0.2,0.8,0.2,0.5,0.2
2MASS J11040909-7627193,0.6,0.1,0.6,0.1,0.5,0.1,0.4,0.1,0.2,0.1
2MASS J11042275-7718080,0.6,0.1,0.7,0.1,0.6,0.1,0.5,0.1,0.3,0.1
2MASS J11044258-7741571,0.1,0.1,--,--,--,--,--,--,--,--
2MASS J11061540-7721567,2.9,0.1,7.0,1.9,--,--,--,--,--,--
2MASS J11062554-7633418,0.2,0.1,0.3,0.1,0.2,0.1,0.2,0.1,--,--
2MASS J11063460-7723340,0.2,0.1,25.3,1.5,50.3,2.5,48.2,2.2,25.1,1.4
2MASS J11064658-7722325,8.0,0.1,5.1,0.3,2.9,0.4,1.6,0.5,--,--
2MASS J11070919-7723049,3.5,0.1,4.9,0.6,2.5,0.9,2.8,0.9,2.9,0.8
2MASS J11071206-7632232,0.2,0.1,0.2,0.1,0.1,0.1,--,--,--,--
2MASS J11071622-7723068,--,--,1.5,0.6,1.3,0.8,--,--,0.3,0.8
2MASS J11071915-7603048,0.5,0.1,0.4,0.1,0.2,0.1,0.2,0.1,--,--
2MASS J11072074-7738073,2.1,0.2,1.4,0.4,--,--,--,--,--,--
2MASS J11072142-7722117,0.3,0.1,0.3,0.5,--,--,--,--,0.4,0.7
2MASS J11074366-7739411,0.4,0.1,0.4,0.3,0.4,0.4,--,--,--,--
2MASS J11075730-7717262,0.2,0.1,--,--,--,--,--,--,--,--
2MASS J11075792-7738449,8.0,0.1,5.1,0.3,2.9,0.4,1.6,0.5,--,--
2MASS J11080148-7742288,1.2,0.6,0.5,0.7,--,--,--,--,--,--
2MASS J11080297-7738425,4.0,0.1,1.5,0.3,1.2,0.4,0.3,0.5,--,--
2MASS J11080329-7739174,53.7,0.3,53.8,0.4,33.5,0.4,21.5,0.4,10.9,0.4
2MASS J11081509-7733531,5.7,0.1,3.4,0.2,1.9,0.4,1.2,0.4 0.5,0.4
2MASS J11083896-7743513,161.0,0.9,96.9,1.1,40.9,0.7,18.5,0.5,6.9,0.3
2MASS J11083905-7716042,0.4,0.1,0.2,0.1,--,--,--,--,--,--
2MASS J11085464-7702129,0.2,0.1,--,--,--,--,--,--,--,--
2MASS J11091812-7630292,0.1,0.1,--,--,--,--,--,--,--,--
2MASS J11092855-7633281,8.5,0.3,5.8,1.0,2.4,0.9,1.1,0.7,0.9,0.5
2MASS J11092266-7634320,1.2,0.3,0.5,0.9,--,--,--,--,--,--
2MASS J11092379-7623207,0.4,0.1,0.4,0.1,0.3,0.1,0.3,0.1,0.3, 0.1
2MASS J11094192-7634584,0.2,0.3,1.8,0.1,--,--,0.1,0.7,1.0,0.5
2MASS J11094621-7634463,--,--,5.2,1.2,3.0,0.9,1.9,0.7,1.0,0.5
2MASS J11094742-7726290,0.1,0.1,0.2,0.1,0.3,0.1,0.3,0.1,0.2,0.2
2MASS J11095340-7634255,11.4,0.3,7.1,1.0,2.8,0.9,1.7,0.7,0.6,0.5
2MASS J11095407-7629253,0.3,0.1,0.3,0.4,--,--,--,--,--,--
2MASS J11095505-7632409,1.8,0.3,1.7,1.1,--,--,--,--,--,--
2MASS J11095873-7737088,0.2,0.1,0.2,0.1,--,--,--,--,--,--
2MASS J11100010-7634578,22.2,0.3,20.9,1.0,15.1,0.9,8.5, 0.7,4.8, 0.5
2MASS J11100369-7633291,--,--,0.9,0.9,--,--,--,--,--,--
2MASS J11100704-7629376,0.2,0.1,0.1,0.1,--,--,--,--,--,--
2MASS J11101141-7635292,1.7,0.4,2.1,1.1,1.2,0.9,--,--,--,--
2MASS J11103801-7732399,0.1,0.1,--,--,--,--,--,--,--,--
2MASS J11104959-7717517,0.5,0.1,0.4,0.1,--,--,--,--,--,--
2MASS J11111083-7641574,0.2,0.1,0.2,0.2,--,--,--,--,--,--
2MASS J11113965-7620152,0.2,0.1,--,--,0.1,0.1,0.1,0.1,--,--
2MASS J11114632-7620092,0.3,0.1,0.2,0.1,0.2,0.1,0.1,0.1,--,--
2MASS J11122772-7644223,2.1,0.1,1.1,0.1,0.6,0.1,0.3,0.2,0.2, 0.1
2MASS J11124268-7722230,0.3,0.1,--,--,--,--,--,--,--,--
