Target,F1300,eF1300,ObsDate
ROX 4,28,28,1993Mar
ROX 5,19,19,1993Mar
ROX 6,31,6,1993Mar
ROXs 9A,22,22,1993Mar
ROXs 9B,11,11,1993Mar
ROXs 9C,14,14,1993Mar
ROXs 9D,35,35,1993Mar
ROXs 10B,65,19,1993Mar
ROX 12,19,19,1993Mar
ROXs 30A,10,10,1993Mar
ROXs 35A,29,29,1993Mar
ROXs 35B,19,19,1993Mar
ROXs 43B,17,17,1993Mar
ROX 44,105,11,1993Mar
ROXs 45B,19,19,1993Mar
ROXs 45C,19,19,1993Mar
ROXs 45D,19,19,1993Mar
ROXs 10B,65,19,1993Mar
ROXs 43B,17,17,1993Mar
WSB 4,13,13,1993Mar
EM* SR 24,230,11,1993Mar
VSSG 14,10,10,1993Mar
Elia 2-49,58,5,1993Mar
HBC 652,13,13,1993Mar
