Target,F850,e_F850,F450,e_F450,ObsDate
HBC 3,220,30,--,--,averaged
V* V376 Cas,140,20,--,--,2001Aug
V* V892 Tau,630,20,2250,100,unknown
V* AB Aur,350,20,2200,100,averaged
HD 31648,780,20,3300,290,2001Aug
HD 34282,360,9,2700,400,averaged
HD 36112,197,10,1540,50,unknown
HD 35187,70.6,6,340,85,unknown
HBC 40,818,50,--,--,unknown
[SWH2011] AFGL 961 A,1950,60,14900,300,unknown
[SWH2011] AFGL 961 SMM,1330,50,12300,300,unknown
HD 135344B,490,10,3180,230,unknown
HD 141569,10.9,1.3,64.9,13.3,unknown
HD 142666,313,5,1140,35,unknown
HD 144432,129,6,--,--,unknown
HR 5999,64,20,--,--,2001Aug
HD 150193,101,10,--,--,2001Aug
V* KK Oph,91,15,--,--,2001Aug
HD 163296,1900,200,8700,370,averaged
HD 169142,565,10,3340,115,unknown
V* NZ Ser,570,30,1450,200,unknown
V* V1318 Cyg S-mm,2050,50,10200,200,unknown
V* V1478 Cyg,2600,70,5000,1100,2001Aug
V* PV Cep,1000,20,6550,150,averaged
V* V645 Cyg,2400,60,20800,600,2001Aug
HBC 317,250,50,--,--,2001Aug
